,id,emp_length Encoded,home_ownership Encoded,purpose Encoded,addr_state Encoded,loan_amnt,funded_amnt,int_rate,installment,annual_inc,dti,delinq_2yrs,mths_since_last_delinq,open_acc,mths_since_first_cr_line,term,revol_bal,total_acc,out_prncp
1481,2367423,3,4,2,32,19000.0,19000.0,14.09,650.21,45000.0,20.67,0.0,0.0,7.0,245.2,36.0,19406.0,11.0,12543.12
1482,2367761,2,4,2,32,1675.0,1675.0,21.98,63.96,60000.0,10.84,0.0,0.0,8.0,295.2,36.0,2123.0,21.0,1149.34
1483,2368109,7,4,1,19,15000.0,15000.0,18.75,547.95,70200.0,21.7,1.0,5.0,12.0,353.2,36.0,15998.0,31.0,10137.03
1484,2368531,1,4,2,29,28000.0,28000.0,15.8,981.64,86000.0,31.45,0.0,62.0,22.0,435.2,36.0,21074.0,42.0,18653.24
1486,2369540,7,0,1,4,17000.0,17000.0,6.03,517.41,100000.0,23.93,0.0,0.0,19.0,339.1,36.0,32147.0,31.0,10754.03
1488,2370299,8,0,2,13,18000.0,18000.0,8.9,372.78,110000.0,12.28,0.0,41.0,10.0,348.1,60.0,16805.0,27.0,14508.88
1490,2371105,11,0,1,4,18000.0,18000.0,10.16,582.17,65000.0,19.24,0.0,61.0,9.0,622.1,36.0,21580.0,21.0,11648.26
1491,2371528,1,3,2,10,18200.0,18200.0,11.14,597.06,102000.0,17.42,0.0,33.0,8.0,284.1,36.0,28393.0,19.0,11831.98
1492,2371911,4,3,12,4,9750.0,9750.0,18.49,354.89,45000.0,15.89,0.0,48.0,5.0,205.1,36.0,590.0,8.0,6583.91
1493,2372328,1,3,2,19,10000.0,10000.0,6.62,307.04,55000.0,18.55,0.0,0.0,13.0,359.1,36.0,11752.0,30.0,6364.14
1494,2372777,11,4,1,27,9800.0,9800.0,13.11,330.73,36000.0,19.03,2.0,17.0,10.0,312.9,36.0,9233.0,28.0,6441.57
1495,2373345,10,4,2,4,12000.0,12000.0,17.77,432.45,54901.0,22.32,0.0,81.0,13.0,285.0,36.0,8048.0,23.0,8982.93
1496,2374771,1,0,1,25,18000.0,18000.0,11.14,590.5,80000.0,27.62,2.0,5.0,11.0,437.3,36.0,20790.0,32.0,11701.09
1497,2375068,0,4,2,25,18000.0,18000.0,18.75,657.54,55500.0,23.48,0.0,48.0,15.0,395.3,36.0,13102.0,38.0,12170.81
1498,2375447,6,4,2,25,5000.0,5000.0,16.29,176.51,30000.0,22.36,0.0,65.0,8.0,363.3,36.0,4857.0,16.0,3340.36
1500,2376069,1,0,2,28,8000.0,8000.0,8.9,254.03,92000.0,21.12,0.0,74.0,10.0,285.2,36.0,21431.0,30.0,5138.86
1502,2376987,0,3,1,12,10000.0,10000.0,11.14,328.06,44300.0,19.53,0.0,48.0,8.0,418.2,36.0,17205.0,22.0,6500.86
1503,2377382,1,0,2,3,12000.0,12000.0,13.11,404.97,40000.0,7.57,1.0,22.0,8.0,404.2,36.0,6919.0,25.0,7884.03
1505,2378336,7,0,1,32,15000.0,15000.0,10.16,485.14,63086.4,26.36,0.0,51.0,10.0,367.2,36.0,13332.0,23.0,9708.95
1506,2378738,4,0,2,13,8000.0,8000.0,12.12,266.18,30000.0,16.64,0.0,0.0,13.0,238.2,36.0,6501.0,27.0,5228.78
1507,2379172,1,3,2,35,25000.0,25000.0,13.11,843.68,60000.0,14.92,0.0,61.0,11.0,279.1,36.0,30540.0,27.0,9684.8
1508,2379550,1,0,2,18,32000.0,32000.0,19.05,830.98,125000.0,16.84,0.0,29.0,11.0,311.1,60.0,14894.0,27.0,26999.46
1509,2380085,10,0,2,10,35000.0,35000.0,17.27,874.93,255000.0,4.64,0.0,31.0,10.0,427.0,60.0,13757.0,36.0,29291.72
1510,2380476,9,0,2,4,23325.0,23325.0,16.29,570.82,72000.0,30.05,0.0,0.0,8.0,420.1,60.0,9752.0,33.0,19437.19
1511,2380758,5,0,2,42,24000.0,24000.0,6.03,730.46,90000.0,24.57,0.0,0.0,21.0,285.1,36.0,69339.0,44.0,15181.27
1512,2381193,2,0,1,15,16750.0,16750.0,12.12,373.62,48000.0,25.12,1.0,23.0,10.0,448.1,60.0,19399.0,29.0,13693.8
1513,2381528,0,0,2,20,4800.0,4800.0,12.12,159.71,53000.0,10.21,1.0,8.0,15.0,335.1,36.0,6563.0,34.0,3136.3
1514,2381986,2,0,2,32,25000.0,25000.0,15.31,598.83,90000.0,22.48,4.0,5.0,22.0,364.1,60.0,16401.0,56.0,20752.41
1515,2382490,0,4,2,28,21000.0,21000.0,12.12,698.71,130000.0,10.87,0.0,0.0,14.0,529.0,36.0,38331.0,19.0,13721.63
1516,2382805,1,0,1,16,10100.0,10100.0,18.49,367.63,30000.0,21.69,0.0,54.0,10.0,296.0,36.0,6134.0,25.0,6815.53
1517,2383281,6,0,5,27,15850.0,15850.0,16.29,559.52,150000.0,14.71,1.0,10.0,25.0,259.0,36.0,6942.0,45.0,10582.76
1518,2384581,1,0,1,28,28000.0,28000.0,7.62,872.52,93000.0,13.96,0.0,0.0,9.0,381.5,36.0,48384.0,22.0,18616.41
1519,2414654,3,0,3,42,18000.0,18000.0,6.03,547.84,72000.0,7.08,0.0,0.0,8.0,315.0,36.0,10430.0,13.0,11386.71
1520,2434599,1,4,2,29,9600.0,9600.0,14.33,329.65,65000.0,10.34,2.0,19.0,16.0,332.0,36.0,10278.0,52.0,6351.78
1521,2435089,5,0,2,27,9600.0,9600.0,11.14,314.93,103000.0,1.97,0.0,43.0,7.0,258.0,36.0,5147.0,10.0,6241.17
1522,2435584,1,0,2,19,28625.0,28625.0,19.72,753.94,75000.0,32.93,0.0,0.0,18.0,323.8,60.0,51376.0,28.0,24217.76
1523,2444699,11,0,2,24,18225.0,18225.0,16.29,446.01,75000.0,34.88,0.0,57.0,25.0,559.0,60.0,43731.0,54.0,15188.05
1524,2445271,5,0,1,20,32000.0,32000.0,14.09,1095.09,135000.0,20.55,0.0,30.0,14.0,375.0,36.0,49980.0,36.0,21139.97
1526,2474732,3,3,2,3,15000.0,15000.0,16.29,367.09,45000.0,9.44,1.0,8.0,12.0,251.0,60.0,12483.0,26.0,12500.76
1527,2475075,10,4,1,28,8000.0,8000.0,11.14,262.45,40000.0,10.46,0.0,0.0,6.0,233.0,36.0,1070.0,18.0,4749.35
1528,2475574,6,4,10,4,8000.0,8000.0,22.47,307.48,95000.0,2.45,0.0,0.0,4.0,179.0,36.0,4221.0,4.0,5502.6
1530,2476688,1,0,2,34,8500.0,8500.0,11.14,278.85,60000.0,24.19,1.0,17.0,10.0,300.9,36.0,3713.0,25.0,5526.01
1533,2484789,1,0,3,12,8000.0,8000.0,12.12,266.18,64000.0,17.23,0.0,47.0,7.0,287.0,36.0,80.0,21.0,5233.22
1534,2485186,1,4,2,34,15000.0,15000.0,11.14,492.08,63192.0,18.23,0.0,0.0,7.0,308.0,36.0,13206.0,26.0,9751.17
1536,2486298,2,0,1,4,12000.0,12000.0,11.14,393.67,85000.0,18.71,0.0,33.0,9.0,291.9,36.0,13651.0,18.0,7801.43
1537,2486851,6,0,1,18,5000.0,5000.0,12.12,166.36,165000.0,10.25,0.0,26.0,12.0,316.9,36.0,22842.0,40.0,3270.49
1538,2487429,3,4,1,19,21000.0,21000.0,6.62,644.78,105000.0,23.86,0.0,0.0,8.0,335.3,36.0,35882.0,39.0,13896.16
1539,2488077,3,0,5,3,2500.0,2500.0,16.29,88.26,35000.0,20.78,0.0,27.0,10.0,217.9,36.0,2129.0,16.0,1668.59
1540,2514795,8,0,10,39,12000.0,12000.0,16.29,423.61,75000.0,19.81,0.0,0.0,8.0,294.9,36.0,25151.0,34.0,8327.62
1541,2524726,5,0,2,25,21000.0,21000.0,11.14,688.91,189000.0,14.65,0.0,0.0,23.0,262.9,36.0,27020.0,49.0,13651.37
1542,2574567,3,0,2,17,35000.0,35000.0,12.12,1164.51,320000.0,7.8,0.0,29.0,12.0,315.9,36.0,42085.0,28.0,24708.64
1543,2575008,10,3,2,4,8000.0,8000.0,17.27,286.3,60000.0,11.18,0.0,0.0,10.0,221.9,36.0,9459.0,11.0,5371.5
1544,2584976,1,0,2,42,18000.0,18000.0,15.31,431.16,48400.0,34.98,0.0,43.0,8.0,467.9,60.0,9392.0,24.0,14946.38
1545,2594989,10,4,2,20,6000.0,6000.0,19.72,222.13,75000.0,17.0,0.0,33.0,14.0,256.8,36.0,11570.0,33.0,4076.97
1546,2595534,5,4,2,42,11200.0,11200.0,12.12,372.65,65000.0,23.46,0.0,76.0,25.0,281.8,36.0,15906.0,34.0,7323.53
1548,2605467,1,0,2,4,7500.0,7500.0,12.12,249.54,75000.0,10.14,1.0,17.0,9.0,280.8,36.0,5780.0,29.0,4905.37
1549,2634826,1,0,2,32,20000.0,20000.0,12.12,665.44,65000.0,13.42,0.0,26.0,8.0,351.8,36.0,14628.0,26.0,13602.38
1550,2635307,1,0,2,19,17500.0,17500.0,11.14,574.09,40000.0,23.64,1.0,21.0,13.0,316.0,36.0,50423.0,17.0,11840.54
1551,2635761,1,0,2,19,16000.0,16000.0,13.11,539.96,85000.0,24.27,2.0,8.0,11.0,310.8,36.0,12872.0,26.0,10514.29
1552,2636215,0,4,2,4,14700.0,14700.0,10.16,475.44,80000.0,17.49,0.0,80.0,17.0,305.8,36.0,16737.0,32.0,9518.51
1553,2644841,1,0,8,19,8975.0,8975.0,18.49,326.68,58000.0,10.18,0.0,29.0,9.0,266.8,36.0,5273.0,21.0,6056.39
1554,2645417,8,0,2,29,14125.0,14125.0,15.8,495.2,69693.0,28.44,0.0,74.0,19.0,476.8,36.0,26968.0,30.0,9417.18
1555,2645876,6,4,2,39,21400.0,21400.0,21.98,590.81,48714.0,31.37,0.0,62.0,9.0,219.8,60.0,14481.0,21.0,18271.79
1556,2646298,1,4,3,37,7000.0,7000.0,10.16,226.4,84000.0,7.54,0.0,45.0,7.0,338.2,36.0,14053.0,45.0,4719.65
1557,2694682,0,0,2,29,15000.0,15000.0,12.12,499.08,55000.0,4.84,0.0,52.0,10.0,308.7,36.0,9797.0,21.0,9808.75
1558,2704753,0,0,2,5,30000.0,30000.0,14.09,1026.65,120000.0,13.66,0.0,74.0,6.0,289.7,36.0,9864.0,22.0,19808.26
1559,2744774,1,0,2,28,17200.0,17200.0,6.03,523.5,101000.0,18.78,0.0,0.0,18.0,315.7,36.0,37433.0,28.0,10879.32
1560,2774762,7,0,2,37,26025.0,26025.0,11.14,567.67,92000.0,11.84,0.0,34.0,11.0,467.0,60.0,25548.0,25.0,21401.84
1561,2824619,3,4,1,4,10000.0,10000.0,7.62,311.62,105000.0,14.14,0.0,0.0,16.0,305.7,36.0,38388.0,26.0,6395.05
1562,2825163,5,4,5,28,20000.0,20000.0,16.29,489.45,68000.0,22.54,0.0,0.0,8.0,237.6,60.0,37968.0,13.0,16666.48
1563,2825459,0,4,2,28,8400.0,8400.0,13.11,283.48,52000.0,4.68,0.0,43.0,14.0,271.6,36.0,5778.0,27.0,5524.3
1564,2825760,1,0,2,12,17000.0,17000.0,13.11,573.7,84000.0,12.0,0.0,0.0,7.0,258.6,36.0,16715.0,13.0,11169.49
1565,2826068,6,4,2,12,17050.0,17050.0,21.98,470.71,53000.0,25.9,0.0,74.0,13.0,397.6,60.0,14594.0,32.0,14547.85
1566,2826369,1,4,1,12,6000.0,6000.0,17.77,216.23,95000.0,2.91,0.0,0.0,5.0,338.6,36.0,4756.0,10.0,4035.52
1567,2826669,0,3,1,37,8000.0,8000.0,8.9,254.03,72000.0,17.1,0.0,0.0,11.0,459.6,36.0,8695.0,17.0,5148.66
1568,2826925,9,3,1,37,12000.0,12000.0,17.77,432.45,50000.0,18.63,0.0,52.0,15.0,318.6,36.0,16719.0,27.0,8378.51
1569,2827250,7,0,2,31,10000.0,10000.0,15.31,348.18,40000.0,18.45,0.0,0.0,14.0,274.6,36.0,5598.0,23.0,1680.25
1570,2827577,3,4,2,10,17050.0,17050.0,11.14,559.33,42000.0,16.2,0.0,0.0,9.0,516.5,36.0,4831.0,12.0,11083.9
1571,2827832,1,4,2,20,20000.0,20000.0,14.09,684.43,45000.0,16.56,0.0,0.0,9.0,305.5,36.0,19090.0,10.0,13734.76
1572,2828156,2,4,10,29,18000.0,18000.0,19.05,660.27,100000.0,12.63,0.0,0.0,10.0,212.5,36.0,15701.0,17.0,12179.77
1573,2828507,5,0,2,29,12000.0,12000.0,15.8,420.71,78000.0,19.8,0.0,26.0,7.0,319.5,36.0,20458.0,18.0,7999.5
1574,2828857,7,4,8,3,11500.0,11500.0,21.49,436.17,42500.0,27.95,0.0,0.0,16.0,306.5,36.0,10220.0,33.0,7885.59
1576,2835450,2,0,2,44,10000.0,10000.0,15.31,348.18,120000.0,12.36,1.0,4.0,10.0,265.6,36.0,9519.0,33.0,6643.5
1577,2835849,10,0,2,4,20000.0,20000.0,8.9,414.2,90000.0,7.61,0.0,0.0,5.0,310.6,60.0,12253.0,16.0,16393.69
1578,2836200,2,4,2,41,6000.0,6000.0,15.31,208.91,36500.0,5.26,0.0,0.0,6.0,411.6,36.0,5201.0,26.0,3985.79
1579,2836514,5,0,2,44,12000.0,12000.0,14.09,410.66,82000.0,25.39,0.0,26.0,11.0,306.6,36.0,8849.0,35.0,7922.06
1580,2836792,1,4,2,37,27000.0,27000.0,7.9,844.84,90400.0,24.43,0.0,0.0,10.0,398.6,36.0,46952.0,25.0,17252.84
1581,2837095,8,0,1,12,15000.0,15000.0,13.11,506.21,125000.0,18.08,0.0,28.0,9.0,268.6,36.0,19261.0,20.0,9866.67
1582,2837444,5,4,2,4,21000.0,21000.0,16.29,513.93,64800.0,17.22,0.0,0.0,13.0,284.5,60.0,19027.0,31.0,17499.52
1584,2837987,1,0,1,5,15000.0,15000.0,11.14,492.08,118000.0,24.15,0.0,74.0,16.0,339.5,36.0,45140.0,47.0,9751.16
1586,2838675,9,0,2,25,30000.0,30000.0,15.8,1051.76,90000.0,13.37,0.0,0.0,16.0,284.5,36.0,38873.0,30.0,20763.29
1587,2864681,7,4,8,39,5000.0,5000.0,14.33,171.7,111000.0,13.47,0.0,26.0,7.0,337.5,36.0,21857.0,25.0,3304.4
1590,2874688,10,4,2,12,9000.0,9000.0,12.12,299.45,50000.0,8.54,0.0,0.0,6.0,258.5,36.0,5764.0,12.0,6118.31
1591,2874968,0,0,1,37,5500.0,5500.0,15.31,191.5,45000.0,9.76,0.0,0.0,8.0,214.7,36.0,9221.0,21.0,3796.15
1592,2875428,0,4,2,4,24000.0,24000.0,12.12,798.52,86000.0,12.96,0.0,0.0,19.0,255.5,36.0,18171.0,20.0,15681.95
1593,2894774,7,0,2,10,35000.0,35000.0,21.49,956.55,83000.0,20.94,0.0,31.0,16.0,386.5,60.0,26773.0,48.0,30224.07
1594,2895120,1,4,2,37,18000.0,18000.0,17.27,449.97,75000.0,12.22,0.0,30.0,7.0,315.5,60.0,9564.0,15.0,15065.35
1595,2895605,7,0,2,4,8950.0,8950.0,10.16,289.47,205000.0,17.4,1.0,9.0,16.0,490.4,36.0,47432.0,38.0,6026.39
1596,2896078,1,0,1,21,29000.0,29000.0,8.9,920.85,85000.0,19.89,0.0,47.0,12.0,367.4,36.0,33646.0,33.0,18632.05
1597,2896436,1,3,2,1,13250.0,13250.0,11.14,434.67,50000.0,13.06,0.0,0.0,5.0,276.4,36.0,10893.0,8.0,9313.38
1598,2896721,1,0,2,28,24000.0,24000.0,17.77,606.45,97000.0,13.05,0.0,67.0,27.0,459.2,60.0,30257.0,31.0,20433.45
1599,2896986,1,0,1,29,28000.0,28000.0,13.11,944.92,270000.0,21.46,0.0,30.0,24.0,553.4,36.0,51322.0,50.0,19126.21
1600,2904900,5,0,2,38,9000.0,9000.0,12.12,299.45,85000.0,16.04,0.0,40.0,23.0,303.5,36.0,6196.0,48.0,5882.49
1601,2905333,2,4,2,28,9000.0,9000.0,12.12,299.45,55000.0,11.28,0.0,0.0,11.0,309.4,36.0,2533.0,19.0,6118.89
1602,2905867,1,3,3,39,18000.0,18000.0,17.27,449.97,92000.0,12.49,0.0,59.0,13.0,320.5,60.0,29771.0,25.0,15062.83
1603,2906296,2,4,2,41,15500.0,15500.0,13.11,523.08,66000.0,14.8,0.0,0.0,8.0,318.4,36.0,12449.0,12.0,10592.38
1604,2906681,7,0,2,23,4800.0,4800.0,12.12,159.71,42000.0,6.91,0.0,30.0,5.0,292.4,36.0,8326.0,22.0,3265.17
1605,2907034,1,0,2,4,13000.0,13000.0,8.9,412.8,65000.0,15.21,0.0,0.0,12.0,358.4,36.0,14291.0,18.0,8357.82
1606,2934585,7,4,1,9,8500.0,8500.0,14.33,291.88,50000.0,10.03,0.0,0.0,15.0,244.4,36.0,8021.0,17.0,5842.89
1607,2934828,10,4,2,7,24000.0,24000.0,16.29,587.34,80000.0,17.0,0.0,0.0,9.0,259.4,60.0,24239.0,26.0,20312.18
1609,2935552,9,0,2,37,24000.0,24000.0,15.8,581.09,122500.0,16.42,0.0,81.0,13.0,377.3,60.0,24951.0,21.0,20271.98
1611,2944930,5,4,2,41,16450.0,16450.0,12.12,547.32,70000.0,7.56,0.0,0.0,4.0,205.3,36.0,6556.0,6.0,11195.37
1612,2945233,1,4,8,4,3600.0,3600.0,18.75,131.51,50000.0,28.39,0.0,0.0,10.0,395.3,36.0,16254.0,18.0,2527.38
1613,2945630,1,4,10,28,35000.0,35000.0,17.77,1261.3,250000.0,9.48,0.0,57.0,14.0,465.3,36.0,37001.0,36.0,24434.31
1615,2984845,1,0,2,4,20000.0,20000.0,17.77,505.37,78000.0,22.23,0.0,34.0,11.0,533.3,60.0,18018.0,31.0,17028.75
1616,2994575,9,0,1,37,11000.0,11000.0,12.12,365.99,86300.0,19.79,0.0,0.0,14.0,208.3,36.0,9130.0,17.0,7478.0
1617,2994888,10,4,1,14,8325.0,8325.0,13.11,280.95,24000.0,28.9,0.0,0.0,10.0,485.7,36.0,8788.0,16.0,5689.62
1618,3004633,8,0,2,13,15000.0,15000.0,13.11,506.21,83750.0,7.9,1.0,20.0,8.0,290.3,36.0,15068.0,23.0,10251.36
1619,3004996,4,4,2,28,19000.0,19000.0,17.27,474.97,72000.0,8.69,0.0,0.0,3.0,227.3,60.0,23966.0,4.0,16045.73
1620,3005313,1,0,2,39,5000.0,5000.0,12.12,166.36,60000.0,20.56,0.0,76.0,11.0,322.3,36.0,27327.0,19.0,3400.43
1621,3005669,3,4,1,28,10800.0,10800.0,14.33,370.86,46000.0,22.34,0.0,0.0,10.0,257.3,36.0,17275.0,20.0,7421.5
1622,3005983,1,0,2,44,29000.0,29000.0,18.49,1055.57,67000.0,26.1,0.0,78.0,16.0,320.3,36.0,25650.0,27.0,20335.5
1623,3006309,2,4,2,28,9600.0,9600.0,17.27,343.56,32000.0,27.04,0.0,65.0,11.0,278.2,36.0,11425.0,23.0,6688.99
1624,3006535,2,0,1,10,16500.0,16500.0,7.62,514.17,91500.0,17.69,0.0,42.0,10.0,326.3,36.0,15454.0,36.0,10981.05
1625,3006892,10,4,5,4,2500.0,2500.0,19.05,91.71,45000.0,8.16,1.0,11.0,3.0,222.3,36.0,2476.0,3.0,1526.82
1626,3007231,2,0,2,4,9000.0,9000.0,12.12,299.45,65000.0,15.21,0.0,82.0,9.0,284.3,36.0,7902.0,26.0,6119.95
1627,3007572,1,0,2,4,31000.0,31000.0,19.72,816.49,92970.0,23.26,0.0,31.0,16.0,337.9,60.0,31597.0,30.0,27330.71
1628,3014804,1,0,2,9,16000.0,16000.0,17.77,404.3,82000.0,18.37,0.0,0.0,21.0,258.3,60.0,13742.0,33.0,13621.37
1629,3015222,5,0,2,23,30000.0,30000.0,19.72,790.15,90000.0,22.71,0.0,42.0,12.0,295.3,60.0,31983.0,24.0,25732.24
1630,3015592,1,0,2,43,35000.0,35000.0,21.98,966.27,82000.0,25.04,0.0,0.0,16.0,402.3,60.0,32544.0,33.0,30275.4
1631,3015851,11,0,3,9,35000.0,35000.0,19.72,921.85,82000.0,24.78,0.0,35.0,7.0,464.3,60.0,11540.0,26.0,30021.53
1632,3016154,5,0,2,9,10000.0,10000.0,17.27,357.88,32000.0,22.95,0.0,0.0,8.0,342.3,36.0,14834.0,15.0,6967.61
1633,3016406,9,0,2,28,17500.0,17500.0,16.29,428.27,65437.0,27.66,0.0,0.0,12.0,256.3,60.0,13880.0,35.0,14809.92
1635,3017203,10,4,1,9,12000.0,12000.0,11.14,393.67,80000.0,20.04,0.0,0.0,16.0,499.3,36.0,20364.0,27.0,8119.37
1636,3054607,1,0,1,9,3200.0,3200.0,14.33,109.89,40000.0,24.15,0.0,0.0,10.0,394.2,36.0,17897.0,19.0,2202.8
1637,3054970,1,0,1,25,8000.0,8000.0,8.9,254.03,75000.0,12.69,1.0,4.0,26.0,311.2,36.0,13507.0,37.0,5360.8
1638,3055282,1,4,1,42,5000.0,5000.0,12.12,166.36,30000.0,13.8,0.0,0.0,7.0,419.2,36.0,5072.0,13.0,3400.71
1639,3055762,4,4,1,13,16900.0,16900.0,14.09,578.35,48000.0,29.23,0.0,0.0,7.0,231.2,36.0,20484.0,10.0,11604.41
1640,3056103,1,0,1,3,20000.0,20000.0,12.12,665.44,75000.0,22.78,0.0,75.0,15.0,460.2,36.0,23300.0,29.0,13602.32
1641,3056537,1,4,1,39,12375.0,12375.0,16.29,436.85,42000.0,9.37,0.0,0.0,7.0,292.2,36.0,8793.0,13.0,8583.52
1643,3057114,11,0,2,9,15000.0,15000.0,10.16,485.14,57000.0,15.25,1.0,17.0,10.0,632.2,36.0,35745.0,27.0,10106.2
1646,3064875,5,0,2,17,14075.0,14075.0,13.11,474.99,72000.0,9.93,0.0,0.0,6.0,247.2,36.0,8247.0,9.0,9620.25
1647,3065194,6,0,2,23,18675.0,18675.0,17.77,673.0,76000.0,25.69,1.0,19.0,10.0,252.3,36.0,16617.0,32.0,13039.87
1648,3065697,0,0,1,25,16000.0,16000.0,10.16,517.48,200000.0,8.65,0.0,0.0,13.0,196.2,36.0,19188.0,20.0,10785.77
1649,3066067,5,0,2,31,17625.0,17625.0,15.31,422.18,40000.0,20.52,0.0,0.0,8.0,303.2,60.0,16974.0,16.0,14855.91
1651,3066975,6,0,2,4,20000.0,20000.0,11.14,656.11,65000.0,9.18,1.0,13.0,11.0,346.2,36.0,24559.0,28.0,14057.96
1652,3067328,3,0,2,4,12000.0,12000.0,16.29,293.67,62500.0,25.54,0.0,0.0,15.0,364.2,60.0,26265.0,28.0,10154.39
1653,3084575,1,4,1,4,15000.0,15000.0,12.12,499.08,98000.0,5.95,1.0,18.0,8.0,296.2,36.0,10964.0,21.0,10199.83
1654,3094935,5,3,1,4,7000.0,7000.0,10.16,226.4,60000.0,15.64,0.0,0.0,10.0,467.1,36.0,14125.0,16.0,4723.14
1655,3095376,9,0,2,10,18900.0,18900.0,15.8,457.61,75000.0,28.16,0.0,0.0,11.0,411.1,60.0,23214.0,22.0,15968.86
1656,3095779,1,0,2,4,30000.0,30000.0,8.9,952.6,90000.0,14.78,0.0,0.0,14.0,313.1,36.0,5616.0,30.0,20088.43
1657,3096087,1,0,1,41,20000.0,20000.0,8.9,414.2,103000.0,32.05,0.0,0.0,14.0,380.6,60.0,14900.0,32.0,16394.42
1658,3096637,1,4,2,33,10000.0,10000.0,17.27,357.88,40000.0,14.64,0.0,0.0,9.0,280.1,36.0,7342.0,16.0,6972.02
1659,3096966,6,0,2,12,20000.0,20000.0,21.0,541.07,60000.0,24.68,0.0,0.0,11.0,248.1,60.0,17082.0,23.0,17473.08
1660,3097281,8,4,2,4,35000.0,35000.0,13.11,1181.15,95000.0,27.2,0.0,0.0,11.0,278.1,36.0,40764.0,16.0,23911.35
1661,3097668,1,0,2,24,10975.0,10975.0,11.14,360.04,33000.0,31.89,0.0,0.0,9.0,332.0,36.0,33288.0,26.0,7714.33
1662,3098175,10,0,1,29,10000.0,10000.0,13.11,337.47,45000.0,25.28,0.0,0.0,11.0,304.1,36.0,26459.0,14.0,6834.88
1663,3098659,2,0,1,27,14100.0,14100.0,15.31,490.93,40000.0,10.71,0.0,0.0,12.0,221.1,36.0,8869.0,20.0,10805.24
1664,3099009,4,0,3,31,7500.0,7500.0,14.09,256.67,69500.0,20.29,0.0,0.0,9.0,271.0,36.0,13552.0,15.0,5151.33
1665,3104977,3,0,1,32,20000.0,20000.0,17.27,499.96,46000.0,19.43,0.0,0.0,22.0,246.1,60.0,14021.0,27.0,16995.53
1666,3105310,3,4,1,4,9450.0,9450.0,17.27,338.19,28000.0,34.03,0.0,71.0,19.0,259.1,36.0,12846.0,22.0,6584.96
1667,3105846,1,0,2,9,20000.0,20000.0,17.27,499.96,67782.0,28.22,0.0,0.0,14.0,261.1,60.0,14325.0,36.0,17003.42
1669,3106496,0,0,2,34,7500.0,7500.0,11.14,246.04,162700.0,21.27,0.0,43.0,14.0,481.1,36.0,12061.0,46.0,5074.71
1670,3106859,10,0,1,29,13500.0,13500.0,10.16,436.63,85000.0,14.85,0.0,0.0,7.0,320.1,36.0,14042.0,26.0,9106.05
1672,3107621,1,0,3,9,21650.0,21650.0,14.33,743.43,79000.0,26.67,0.0,0.0,12.0,252.2,36.0,10651.0,24.0,17071.59
1673,3108119,9,0,2,29,21000.0,21000.0,11.14,688.91,109000.0,12.42,0.0,0.0,12.0,257.1,36.0,24312.0,24.0,14208.38
1674,3108509,5,4,1,12,12000.0,12000.0,20.49,448.97,47764.0,28.84,0.0,0.0,12.0,429.1,36.0,19234.0,42.0,8480.78
1675,3108880,1,0,2,33,18000.0,18000.0,8.9,571.56,90000.0,9.08,0.0,76.0,6.0,299.1,36.0,5745.0,9.0,11988.23
1676,3144577,1,4,2,41,22000.0,22000.0,14.09,752.87,50000.0,16.99,0.0,0.0,11.0,315.1,36.0,17226.0,50.0,15103.1
1678,3145353,1,4,1,11,33000.0,33000.0,19.72,869.17,125000.0,12.8,0.0,41.0,11.0,363.9,60.0,19831.0,27.0,6583.13
1679,3145767,6,4,11,4,6000.0,6000.0,18.49,218.4,40000.0,18.3,2.0,21.0,7.0,290.0,36.0,8897.0,16.0,4202.38
1680,3146169,1,0,1,4,24000.0,24000.0,15.31,574.88,104000.0,10.2,0.0,40.0,12.0,271.4,60.0,19837.0,30.0,20539.69
1681,3146606,1,0,4,37,13375.0,13375.0,18.49,486.84,75000.0,9.06,6.0,18.0,6.0,382.0,36.0,6645.0,25.0,9708.5
1682,3146903,2,0,2,9,16000.0,16000.0,13.11,364.96,60000.0,8.26,0.0,0.0,8.0,404.0,60.0,14139.0,12.0,13360.14
1683,3147202,11,0,1,4,20000.0,20000.0,7.62,623.23,70000.0,13.09,0.0,0.0,20.0,649.0,36.0,35820.0,34.0,13302.76
1684,3147625,9,4,1,37,23500.0,23500.0,7.62,732.3,80700.0,26.96,0.0,0.0,19.0,283.0,36.0,24370.0,39.0,15494.76
1685,3148052,9,0,2,31,10000.0,10000.0,6.62,307.04,60000.0,17.34,0.0,0.0,14.0,388.3,36.0,20184.0,28.0,6901.66
1687,3148852,1,0,2,4,26500.0,26500.0,19.72,697.97,60000.0,27.18,2.0,10.0,16.0,270.0,60.0,16351.0,34.0,22731.71
1688,3149283,0,0,3,10,18000.0,18000.0,16.29,440.51,41600.0,5.28,0.0,0.0,5.0,234.0,60.0,5849.0,12.0,15232.02
1689,3149736,4,0,8,39,6000.0,6000.0,19.05,220.09,92000.0,11.82,0.0,0.0,6.0,179.0,36.0,2035.0,9.0,4215.4
1690,3150096,7,4,2,9,8000.0,8000.0,15.31,278.54,25000.0,30.72,0.0,0.0,11.0,194.9,36.0,10867.0,14.0,5522.46
1691,3150492,1,0,2,29,6000.0,6000.0,11.14,196.84,69100.0,12.63,0.0,0.0,19.0,348.9,36.0,25848.0,28.0,4059.81
